fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-76.831355837,-100.809757414,-23.9784015771,46,0,0
-79.9341201229,-94.8849676098,-14.9508474869,52,0,0
-70.7689512115,-94.0931551493,-23.3242039378,52,0,0
-90.3501226578,-104.189725485,-13.8396028268,48,0,0
-78.9197092933,-104.006857896,-25.0871486026,47,0,0
-85.8054570008,-104.006857896,-18.2014008951,47,0,0
-80.9870672675,-97.2000254413,-16.2129581738,48,0,0
-78.6410070575,-93.5929310443,-14.9519239868,47,0,0
-90.0857610523,-101.179425528,-11.0936644757,48,0,0
-80.4993339141,-97.9862579826,-17.4869240684,47,0,0
-74.6371912169,-94.9759580259,-20.3387668091,47,0,0
-69.156343724,-91.8852362709,-22.7288925469,48,0,0
-70.0865670399,-93.2293888146,-23.1428217748,49,0,0
-69.9630444495,-93.7757986331,-23.8127541836,48,0,0
-69.328164417,-93.2150454354,-23.8868810183,47,0,0
-69.711464794,-92.8674243728,-23.1559595787,47,0,0
-69.6210712689,-92.6079097471,-22.9868384783,49,0,0
-71.3116339928,-94.7891575008,-23.477523508,46,0,0
-70.7449884011,-94.4644328014,-23.7194444003,47,0,0
-70.668380583,-93.4061305192,-22.7377499362,46,0,0
-74.5863837606,-96.76278832,-22.1764045594,50,0,0
-70.0642778445,-93.2293888146,-23.1651109701,49,0,0
-71.5511478398,-93.3979130242,-21.8467651844,48,0,0
-81.1487530714,-95.1588256147,-14.0100725434,48,0,0
-76.9714509199,-95.5558774957,-18.5844265758,47,0,0
-75.6873275642,-98.3482224244,-22.6608948602,49,0,0
-70.6563474005,-93.1240550193,-22.4677076187,52,0,0
-69.6991174589,-92.4288128941,-22.7296954352,48,0,0
-70.3640651536,-94.0068578958,-23.6427927422,47,0,0
-71.0235141385,-94.798849082,-23.7753349435,54,0,0
-74.4300472403,-97.3791222943,-22.949075054,49,0,0
-69.6560518447,-93.3979130242,-23.7418611794,48,0,0
-76.250190127,-99.7730882766,-23.5228981496,50,0,0
-72.5809072775,-95.2127759336,-22.6318686561,54,0,0
-72.3774314216,-95.9178419376,-23.540410516,49,0,0
-72.4185883325,-95.1588256147,-22.7402372822,48,0,0
-76.172872067,-96.4082129808,-20.2353409138,48,0,0
-77.7845354351,-101.179425528,-23.3948900928,48,0,0
-82.6306296834,-104.88496761,-22.2543379264,52,0,0
-69.968401963,-92.8437677833,-22.8753658203,52,0,0
-74.1240438004,-95.8540677399,-21.7300239395,52,0,0
-70.7722987161,-94.4710407582,-23.6987420421,52,0,0
-70.2914998104,-93.7455340868,-23.4540342763,52,0,0
-71.0704237415,-94.6473003902,-23.5768766488,48,0,0
-69.4855860397,-92.3276225111,-22.8420364715,49,0,0
-72.3299695322,-96.5873098339,-24.2573403016,49,0,0
